File name,Description,Hash
20240822_174147,Homee 8F 大會議室,1hjC2hlxMn8wk40aW72QeQnbjJNoQ7_kn
20240822_213039,古亭 24F 客廳餐廳廚房,1OF7_Bcfc1kuoQfpY3ezASuuYwKE4z7Uu
20240822_214417,古亭 24F 右一房間,1sh6K9muD9aQsuaxSK1lyVFqCtvUQhpMA
20240822_215134,古亭 24F 客衛,1KhKJBbnxSIxwzFmIDjXoFnCJiCXR_Oe7
20240826_144006,Homee 7F 個人會議室,qL08Wrz9x88wUi8cxA
20240826_144721,Homee 7F 茶水間,1gXq0HF3NZeR4HcNzlVO32CCjkVAJZY1O
20240826_150519,Homee 7F 小會議室,1Zo8abzsHD-jC6P3vo0D-fuIAlED6g6w-
20240826_151232,Homee 7F 工作桌,1do0wGaakGxAu257HYm9bnoGirF9rpckZ
20240826_161628,Homee 7F 大會議室,1f3uvCs752DDtQv4y7le4HBJYDN0ZqlpP
20240826_163221,Homee 2F 公設餐桌,1pOQVpbybyLlsDOZ_WjVTSmfW-ANHR9jx
20240826_164656,Homee 2F 公設客廳,1DEam7tQ5RJgct3M2snXiKfoqVzosxr0d
20240826_171542,Homee 8F 中會議室,1bDVfkQc5heJHnHNrQrFPar8VMVW9LgeG
20240827_133903,古亭 14F 公設大會議室,1177xkJ7r1VlD7GrtKOhvrVW76x595VRJ
20240827_140055,古亭 14F 公設客廳,1eZcf0leAY-Rbnico7wBh4Eu5HCeXW3CK
20240827_143158,古亭 14F 公設吧台,1LODqx36F4eC0RXCS2MrNg0j_ykrwh_QW
20240827_145515,古亭 14F 公設健身房,1LODqx36F4eC0RXCS2MrNg0j_ykrwh_QW
20240827_153537,古亭 24F 右二房間,1DA1IYm6wBsluzGuymCw7tuKL3uLz9eyN
20240827_154639,古亭 24F 左一房間,1pKuBFNohT_A_9aEanT1y6hghwILeAiiO
20240827_165142,古亭 18F 右一房間,1lwgUGkRzuJSXtY9zTmLEhhQF-RWhUvPK
20240828_103005,台電大樓 11F 客廳,1US4hfLvPWJl-YJCpGD4Ej_6vFlBk3AsC
20240828_105206,台電大樓 11F 餐廳,1gRvioFWgbDZziJhmZCS9DsdCfJbozWMw
20240828_110255,台電大樓 11F 和室,1yvL0Il7bsjYV65KE8XVsCkSua1jBxVH_
20240828_111110,台電大樓 11F 左一房間,1Giv2rLuqwq2PTd9uVoWHuyfselv4L5vZ
20240828_111652,台電大樓 11F 右一房間,12HYMP7IIz13sy_CGV9V2qavCOxax-5Q9
20240828_113856,台電大樓 11F 廚房,1r4vRfr5uGS8rYNGS9EURsON1D0tvliZC